Rank,Nation,Squad_Size,Avg_Age,Total Value,Confideration,Points
188,Laos,23,25.1,$1.31m,AFC,912
189,Bhutan,23,25.6,$1.17m,AFC,911
190,Mongolia,23,25.9,$1.08m,AFC,906
191,Brunei,23,27.2,$1.02m,AFC,904
192,A. Samoa,21,23.5,$28Th.,OFC,900
193,Cayman Islands,18,22.5,-,CONCACAF,897
194,Samoa,23,25.1,$358Th.,OFC,894
195,Gibraltar,40,26.5,$523Th.,UEFA,888
196,Bahamas,18,25.3,-,CONCACAF,880
197,Timor-Leste,23,22.4,$1.17m,AFC,879
197,Somalia,18,24.5,$1.18m,CAF,879
199,Guam,32,25.5,$963Th.,AFC,873
200,Pakistan,19,27.5,$1.00m,AFC,867
200,Aruba,20,24.7,-,CONCACAF,867
202,Seychelles,34,26.9,$83Th.,CAF,866
203,Tonga,18,24.8,$28Th.,OFC,862
203,Turks-Caicos,20,24.5,$220Th.,CONCACAF,862
205,Eritrea,24,26.3,$1.21m,CAF,856
206,Sri Lanka,23,25.9,$1.14m,AFC,853
207,US Virgin,23,22.6,$83Th.,CONCACAF,844
208,B. Virgin,20,21.3,-,CONCACAF,842
209,Anguilla,22,26,-,CONCACAF,821
210,San Marino,23,26,$919Th.,UEFA,810
